Población ocupada. Por sectores de actividad y sexo
Cataluña
Valor (media anual)
Unidades: Milers de persones.
"Fuente: Idescat, a partir de la Encuesta de población activa del INE."
Notas:
" En abril de 2024, el Idescat revisó los resultados de la Encuesta de población activa de los años 2021-2023 con la nueva base poblacional derivada del Censo de población y viviendas 2021."
" Entre el 14 de marzo y el 21 de junio de 2020 está vigente el Real Decreto 463/2020, de 14 de marzo, por el que se declara el estado de alarma para la gestión de la situación de crisis sanitaria ocasionada por el covid-19."
(b) Ruptura en la serie temporal.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15284&col=1&lang=es
,Total,Agricultura,Industria,Construcción,Servicios,Hombres,Agricultura,Industria,Construcción,Servicios,Mujeres,Agricultura,Industria,Construcción,Servicios
2012,17632.7,743.4,2483.7,1161.3,13244.2,9608.2,549.6,1854.5,1062.4,6141.6,8024.5,193.8,629.3,98.9,7102.6
2011,18421.4,755.3,2604.7,1403.9,13657.6,10152.5,557.5,1973.5,1297.3,6324.3,8269.0,197.8,631.2,106.6,7333.3
2010,18724.5,786.1,2650.5,1651.4,13636.6,10423.7,583.1,1997.2,1510.3,6333.2,8300.8,203.0,653.3,141.1,7303.4
2009,19106.9,788.1,2807.6,1889.8,13621.4,10733.1,582.9,2111.5,1741.1,6297.5,8373.8,205.2,696.1,148.7,7323.9
2008,20469.7,828.2 (b),3236.7 (b),2459.9 (b),13945.0 (b),11805.2,605.5 (b),2441.2 (b),2282.3 (b),6476.2 (b),8664.5,222.7 (b),795.5 (b),177.7 (b),7468.8 (b)
2007,20579.9,929.4,3287.4,2703.4,13659.8,12067.4,678.3,2454.2,2547.3,6387.5,8512.6,251.1,833.2,156.2,7272.2
2006,19939.1,958.1,3319.8,2542.9,13118.2,11808.5,691.7,2510.1,2405.8,6200.8,8130.6,266.4,809.7,137.1,6917.4
2005,19207.0,1018.0,3310.9,2368.7,12509.5,11485.0,745.5,2480.3,2239.0,6020.2,7722.0,272.4,830.6,129.7,6489.4
2004,18142.3,996.4,3224.7,2252.7,11668.5,10988.1,734.2,2424.2,2132.2,5697.5,7154.2,262.2,800.5,120.4,5971.0
2003,17475.6,996.4,3220.3,2112.6,11146.4,10714.8,730.4,2433.1,1999.7,5551.7,6760.8,266.0,787.2,112.8,5594.7
2002,16790.1,1000.2,3215.8,1982.0,10592.2,10407.8,744.4,2407.3,1879.5,5376.7,6382.3,255.8,808.5,102.5,5215.5
2001,16146.3,1045.2,3176.7,1876.2,10048.1,10150.5,775.6,2402.8,1789.1,5183.1,5995.7,269.6,774.0,87.2,4865.0

